job_number,job_date,job_state,service,tasker_number,job_value,tasker_payout
10238,2023-01-03,completed,cleaning,491,138.0,104.0
21610,2023-01-03,completed,cleaning,182,136.0,95.0
25915,2023-01-03,cancelled,remodeling_cleaning,674,258.0,235.0
25209,2023-01-03,completed,cleaning,838,155.0,114.0
10309,2023-01-03,completed,cleaning,283,162.0,129.0
10152,2023-01-03,completed,cleaning,2620,112.0,99.0
25444,2023-01-03,completed,cleaning,1364,95.0,60.0
5006,2023-01-03,completed,cleaning,1891,177.0,135.0
10740,2023-01-03,completed,cleaning,1534,169.0,133.0
10133,2023-01-03,completed,cleaning,1649,-10.0,88.0
25381,2023-01-03,completed,furniture_assembly,1889,209.0,139.0
19888,2023-01-03,completed,cleaning,932,127.0,69.0
2463,2023-01-03,completed,cleaning,2587,122.0,105.0
25205,2023-01-03,completed,cleaning,2020,194.0,143.0
2801,2023-01-03,cancelled,cleaning,2248,165.0,118.0
10063,2023-01-03,completed,business_cleaning,701,138.0,66.0
10515,2023-01-03,completed,heavy_cleaning,886,192.0,153.0
25781,2023-01-03,completed,pre_moving_cleaning,1697,250.0,159.0
10328,2023-01-03,cancelled,cleaning,,125.0,105.0
25108,2023-01-03,cancelled,ironing,,118.0,93.0
1910,2023-01-03,completed,cleaning,108,150.0,133.0
2645,2023-01-03,completed,cleaning,1062,126.0,95.0
25526,2023-01-03,cancelled,heavy_cleaning,,249.0,193.0
3992,2023-01-03,completed,cleaning,2869,147.0,109.0
10416,2023-01-03,completed,business_cleaning,2621,124.0,78.0
10131,2023-01-03,completed,cleaning,876,106.0,97.0
24819,2023-01-03,completed,cleaning,2081,150.0,143.0
25580,2023-01-03,completed,cleaning,1121,134.0,105.0
25781,2023-01-03,completed,pre_moving_cleaning,834,239.0,161.0
10152,2023-01-03,completed,cleaning,1729,124.0,90.0
10705,2023-01-03,completed,express_cleaning,1395,49.0,33.0
2639,2023-01-03,cancelled,cleaning,2009,112.0,91.0
5823,2023-01-03,cancelled,cleaning,2124,156.0,101.0
25379,2023-01-03,completed,furniture_assembly,967,50.0,36.0
2615,2023-01-03,cancelled,cleaning,1614,139.0,92.0
11062,2023-01-03,completed,business_cleaning,2109,185.0,148.0
14969,2023-01-03,completed,cleaning,329,162.0,137.0
1701,2023-01-03,completed,cleaning,885,87.0,81.0
10426,2023-01-03,completed,cleaning,40,90.0,66.0
25319,2023-01-03,completed,cleaning,189,173.0,111.0
8691,2023-01-03,completed,cleaning,1508,101.0,85.0
23612,2023-01-03,cancelled,cleaning,96,97.0,77.0
10223,2023-01-03,completed,cleaning,1260,157.0,113.0
2960,2023-01-03,completed,cleaning,2801,107.0,83.0
25415,2023-01-03,cancelled,cleaning,419,109.0,113.0
10359,2023-01-03,completed,cleaning,1586,156.0,97.0
8860,2023-01-03,cancelled,cleaning,,203.0,141.0
25915,2023-01-03,cancelled,remodeling_cleaning,1281,277.0,237.0
4277,2023-01-04,completed,cleaning,2562,107.0,67.0
2897,2023-01-04,completed,heavy_cleaning,2119,174.0,116.0
10867,2023-01-04,cancelled,cleaning,1200,120.0,86.0
11116,2023-01-04,completed,cleaning,2175,97.0,59.0
9457,2023-01-04,completed,cleaning,1621,114.0,66.0
467,2023-01-04,cancelled,cleaning,,190.0,144.0
2780,2023-01-04,completed,cleaning,1590,101.0,100.0
2804,2023-01-04,cancelled,cleaning,,106.0,103.0
27023,2023-01-04,completed,cleaning,2368,120.0,86.0
2331,2023-01-04,completed,cleaning,1589,179.0,148.0
1403,2023-01-04,cancelled,cleaning,517,180.0,141.0
9934,2023-01-04,cancelled,cleaning,2713,169.0,136.0
26373,2023-01-04,completed,furniture_assembly,1550,146.0,102.0
2949,2023-01-04,completed,cleaning,2745,161.0,117.0
26162,2023-01-04,cancelled,cleaning,2406,151.0,111.0
1898,2023-01-04,completed,cleaning,259,154.0,135.0
3069,2023-01-04,completed,cleaning,558,192.0,143.0
10837,2023-01-04,cancelled,cleaning,85,114.0,94.0
2124,2023-01-04,completed,cleaning,1935,136.0,85.0
5765,2023-01-04,cancelled,cleaning,,173.0,161.0
26940,2023-01-04,cancelled,cleaning,1851,150.0,158.0
247,2023-01-04,cancelled,cleaning,,310.0,242.0
27401,2023-01-04,completed,cleaning,1588,116.0,97.0
1476,2023-01-04,cancelled,heavy_cleaning,54,210.0,184.0
2925,2023-01-04,completed,cleaning,1124,199.0,139.0
2836,2023-01-04,completed,ironing,2421,98.0,59.0
2897,2023-01-04,completed,heavy_cleaning,567,160.0,129.0
7935,2023-01-04,cancelled,cleaning,1615,144.0,97.0
2920,2023-01-04,completed,cleaning,2264,165.0,113.0
26794,2023-01-04,cancelled,cleaning,,206.0,123.0
8350,2023-01-04,cancelled,cleaning,,168.0,135.0
2004,2023-01-04,cancelled,cleaning,160,149.0,123.0
1075,2023-01-04,cancelled,cleaning,,163.0,125.0
27362,2023-01-04,completed,ironing,2579,178.0,176.0
26061,2023-01-04,cancelled,cleaning,2246,215.0,154.0
3226,2023-01-04,completed,cleaning,2541,133.0,113.0
13542,2023-01-04,completed,cleaning,399,79.0,79.0
24237,2023-01-04,completed,remodeling_cleaning,512,260.0,225.0
1421,2023-01-04,cancelled,cleaning,,140.0,113.0
26576,2023-01-04,completed,heavy_cleaning,2070,178.0,162.0
26576,2023-01-04,completed,heavy_cleaning,2303,169.0,162.0
18417,2023-01-04,cancelled,cleaning,,118.0,70.0
23769,2023-01-04,completed,business_cleaning,137,160.0,93.0
26479,2023-01-04,completed,cleaning,64,134.0,112.0
22743,2023-01-04,cancelled,cleaning,2166,159.0,99.0
9258,2023-01-04,cancelled,express_cleaning,2342,42.0,33.0
2793,2023-01-04,completed,cleaning,39,131.0,93.0
2437,2023-01-04,cancelled,cleaning,,116.0,87.0
24237,2023-01-04,completed,remodeling_cleaning,718,246.0,220.0
10966,2023-01-04,completed,ironing,267,109.0,83.0
2501,2023-01-04,completed,cleaning,1235,151.0,102.0
10796,2023-01-04,completed,cleaning,183,95.0,96.0
3671,2023-01-04,cancelled,cleaning,700,146.0,122.0
2815,2023-01-04,cancelled,ironing,,147.0,114.0
26454,2023-01-04,completed,cleaning,2822,179.0,134.0
105,2023-01-04,cancelled,cleaning,,168.0,116.0
19610,2023-01-04,completed,cleaning,149,187.0,152.0
3046,2023-01-04,completed,business_cleaning,323,112.0,93.0
26385,2023-01-04,completed,furniture_assembly,1197,30.0,34.0
3640,2023-01-04,completed,cleaning,2289,130.0,89.0
11054,2023-01-04,cancelled,heavy_cleaning,1136,185.0,172.0
4161,2023-01-04,cancelled,cleaning,,126.0,101.0
9861,2023-01-04,completed,cleaning,2251,154.0,135.0
571,2023-01-04,cancelled,cleaning,,137.0,105.0
11256,2023-01-04,completed,cleaning,1415,115.0,88.0
2913,2023-01-04,completed,cleaning,340,117.0,100.0
25763,2023-01-04,completed,furniture_assembly,778,142.0,88.0
26604,2023-01-04,cancelled,cleaning,,142.0,92.0
2820,2023-01-04,completed,cleaning,1198,193.0,144.0
11164,2023-01-04,cancelled,cleaning,,175.0,148.0
24667,2023-01-04,completed,cleaning,2406,100.0,101.0
10969,2023-01-04,completed,cleaning,684,126.0,94.0
2244,2023-01-04,cancelled,cleaning,662,167.0,109.0
24237,2023-01-04,completed,remodeling_cleaning,395,254.0,217.0
10863,2023-01-04,cancelled,cleaning,2403,108.0,95.0
1488,2023-01-04,cancelled,cleaning,2442,154.0,133.0
9901,2023-01-04,cancelled,cleaning,,133.0,93.0
26411,2023-01-04,completed,cleaning,70,128.0,109.0
2800,2023-01-04,cancelled,cleaning,1288,177.0,132.0
11064,2023-01-04,cancelled,cleaning,2433,169.0,138.0
10891,2023-01-04,completed,cleaning,236,91.0,84.0
11303,2023-01-04,completed,cleaning,2103,195.0,159.0
11054,2023-01-04,cancelled,heavy_cleaning,88,181.0,165.0
7570,2023-01-04,completed,cleaning,2356,156.0,137.0
14044,2023-01-04,cancelled,cleaning,2917,190.0,192.0
8996,2023-01-04,cancelled,heavy_cleaning,,365.0,296.0
2838,2023-01-04,cancelled,cleaning,,169.0,122.0
9973,2023-01-04,cancelled,ironing,,126.0,106.0
10634,2023-01-05,completed,cleaning,899,133.0,85.0
212,2023-01-05,cancelled,cleaning,,135.0,100.0
2713,2023-01-05,cancelled,cleaning,,131.0,100.0
23052,2023-01-05,cancelled,cleaning,2188,105.0,93.0
27705,2023-01-05,completed,cleaning,1928,154.0,141.0
4009,2023-01-05,cancelled,cleaning,,173.0,125.0
10742,2023-01-05,cancelled,cleaning,,129.0,94.0
11658,2023-01-05,completed,cleaning,364,159.0,137.0
11653,2023-01-05,cancelled,cleaning,80,171.0,101.0
6296,2023-01-05,cancelled,ironing,,146.0,93.0
11646,2023-01-05,completed,business_cleaning,288,90.0,68.0
11872,2023-01-05,completed,cleaning,1161,112.0,93.0
3020,2023-01-05,cancelled,ironing,,118.0,101.0
8543,2023-01-05,completed,cleaning,1077,118.0,98.0
15549,2023-01-05,cancelled,cleaning,1921,143.0,121.0
11650,2023-01-05,completed,cleaning,1667,118.0,87.0
11564,2023-01-05,cancelled,cleaning,1325,108.0,109.0
12011,2023-01-05,completed,cleaning,1948,138.0,106.0
18683,2023-01-05,completed,cleaning,2205,132.0,100.0
9913,2023-01-05,cancelled,cleaning,1343,202.0,151.0
234,2023-01-05,completed,cleaning,2691,126.0,88.0
5826,2023-01-05,completed,cleaning,2307,166.0,132.0
27577,2023-01-05,completed,ironing,982,125.0,80.0
4619,2023-01-05,completed,ironing,808,104.0,109.0
25615,2023-01-05,completed,cleaning,1159,194.0,144.0
27534,2023-01-05,cancelled,ironing,396,166.0,110.0
11408,2023-01-05,cancelled,cleaning,,151.0,100.0
10766,2023-01-05,cancelled,cleaning,,148.0,109.0
8487,2023-01-05,cancelled,cleaning,2264,124.0,94.0
12095,2023-01-05,cancelled,cleaning,1711,142.0,113.0
1824,2023-01-05,cancelled,cleaning,,118.0,96.0
2100,2023-01-05,completed,cleaning,2799,195.0,161.0
6730,2023-01-05,completed,cleaning,531,165.0,126.0
11499,2023-01-05,cancelled,business_cleaning,294,137.0,82.0
27610,2023-01-05,completed,heavy_cleaning,1994,220.0,170.0
11973,2023-01-05,completed,cleaning,702,124.0,95.0
3082,2023-01-05,completed,cleaning,1397,93.0,90.0
1889,2023-01-05,completed,cleaning,2273,86.0,71.0
24829,2023-01-05,completed,cleaning,524,185.0,122.0
2981,2023-01-05,cancelled,cleaning,1586,116.0,76.0
12004,2023-01-05,cancelled,cleaning,1467,132.0,103.0
11901,2023-01-05,cancelled,cleaning,2445,134.0,104.0
11647,2023-01-05,cancelled,cleaning,,121.0,98.0
3130,2023-01-05,completed,cleaning,1537,131.0,97.0
11336,2023-01-05,completed,cleaning,2043,88.0,60.0
11771,2023-01-05,completed,cleaning,1062,100.0,70.0
3180,2023-01-05,cancelled,cleaning,,85.0,71.0
11968,2023-01-05,completed,cleaning,1057,78.0,65.0
3913,2023-01-05,completed,cleaning,2341,129.0,96.0
12083,2023-01-05,completed,express_cleaning,475,46.0,25.0
19537,2023-01-05,cancelled,cleaning,2395,184.0,116.0
28504,2023-01-05,completed,cleaning,2736,156.0,117.0
28247,2023-01-05,completed,cleaning,968,121.0,107.0
3144,2023-01-05,cancelled,cleaning,363,184.0,174.0
27514,2023-01-05,completed,cleaning,2680,203.0,157.0
3145,2023-01-05,completed,cleaning,1236,172.0,122.0
3566,2023-01-05,cancelled,cleaning,1079,191.0,159.0
1893,2023-01-05,cancelled,cleaning,271,133.0,91.0
24526,2023-01-05,completed,cleaning,2266,166.0,128.0
27456,2023-01-05,completed,furniture_assembly,1418,45.0,47.0
10749,2023-01-05,cancelled,heavy_cleaning,,213.0,184.0
27850,2023-01-05,completed,furniture_assembly,737,145.0,101.0
11481,2023-01-05,cancelled,cleaning,1928,104.0,88.0
3070,2023-01-05,cancelled,cleaning,,185.0,144.0
11992,2023-01-05,completed,cleaning,514,125.0,115.0
17240,2023-01-05,completed,cleaning,2917,183.0,137.0
28086,2023-01-05,completed,cleaning,2715,114.0,81.0
11568,2023-01-05,cancelled,cleaning,249,122.0,86.0
13180,2023-01-05,completed,cleaning,1888,165.0,133.0
10220,2023-01-05,cancelled,heavy_cleaning,,363.0,294.0
26872,2023-01-05,completed,cleaning,2182,155.0,109.0
27537,2023-01-05,completed,cleaning,36,189.0,127.0
86,2023-01-05,cancelled,ironing,,120.0,95.0
1437,2023-01-05,cancelled,cleaning,,166.0,128.0
19601,2023-01-05,cancelled,cleaning,,167.0,120.0
437,2023-01-05,cancelled,cleaning,,103.0,83.0
3124,2023-01-05,cancelled,cleaning,1603,124.0,100.0
3071,2023-01-05,cancelled,cleaning,1759,183.0,130.0
26191,2023-01-05,completed,heavy_cleaning,411,259.0,203.0
27949,2023-01-05,completed,furniture_assembly,1201,55.0,56.0
3143,2023-01-05,completed,cleaning,911,201.0,153.0
11784,2023-01-05,cancelled,cleaning,1415,161.0,143.0
3022,2023-01-05,cancelled,cleaning,2003,144.0,114.0
11736,2023-01-05,completed,cleaning,649,169.0,138.0
11667,2023-01-05,cancelled,cleaning,,149.0,133.0
27611,2023-01-05,cancelled,cleaning,,321.0,204.0
18329,2023-01-05,completed,cleaning,2784,113.0,110.0
26660,2023-01-05,completed,cleaning,1494,143.0,96.0
1481,2023-01-05,completed,cleaning,1438,145.0,106.0
11654,2023-01-05,completed,cleaning,1776,157.0,113.0
2100,2023-01-05,completed,cleaning,2173,195.0,165.0
10523,2023-01-05,completed,cleaning,1516,155.0,126.0
7867,2023-01-05,cancelled,cleaning,2512,190.0,145.0
7827,2023-01-05,cancelled,cleaning,,160.0,130.0
27587,2023-01-05,completed,cleaning,2172,145.0,137.0
27804,2023-01-05,completed,cleaning,830,192.0,177.0
11853,2023-01-05,completed,cleaning,444,92.0,65.0
8779,2023-01-05,completed,cleaning,2490,145.0,97.0
1375,2023-01-05,cancelled,heavy_cleaning,316,216.0,180.0
27382,2023-01-05,completed,cleaning,1431,167.0,121.0
11119,2023-01-05,completed,ironing,27,97.0,93.0
27410,2023-01-05,completed,cleaning,2593,140.0,89.0
6730,2023-01-05,completed,cleaning,2704,157.0,112.0
25321,2023-01-05,completed,cleaning,980,169.0,116.0
1012,2023-01-05,cancelled,cleaning,2223,145.0,144.0
3495,2023-01-05,cancelled,cleaning,,135.0,115.0
27496,2023-01-05,cancelled,cleaning,,223.0,147.0
11905,2023-01-05,completed,cleaning,293,137.0,102.0
11019,2023-01-05,cancelled,cleaning,,189.0,140.0
3089,2023-01-05,completed,cleaning,1713,120.0,66.0
15719,2023-01-05,cancelled,ironing,2237,107.0,61.0
4823,2023-01-05,completed,ironing,2390,154.0,121.0
26191,2023-01-05,completed,heavy_cleaning,257,239.0,180.0
12403,2023-01-06,completed,heavy_cleaning,769,245.0,185.0
28678,2023-01-06,completed,cleaning,1070,161.0,133.0
2436,2023-01-06,cancelled,cleaning,1480,177.0,165.0
29192,2023-01-06,completed,cleaning,1369,134.0,125.0
28367,2023-01-06,cancelled,furniture_assembly,454,30.0,46.0
4613,2023-01-06,cancelled,cleaning,2611,-11.0,148.0
12584,2023-01-06,completed,cleaning,2723,195.0,175.0
18731,2023-01-06,completed,cleaning,2354,209.0,155.0
1651,2023-01-06,cancelled,cleaning,,155.0,130.0
16821,2023-01-06,cancelled,cleaning,,206.0,136.0
3274,2023-01-06,cancelled,cleaning,,168.0,122.0
3247,2023-01-06,completed,cleaning,1671,129.0,95.0
29099,2023-01-06,completed,cleaning,1898,162.0,128.0
5226,2023-01-06,cancelled,cleaning,,126.0,97.0
10510,2023-01-06,completed,cleaning,2582,153.0,127.0
3421,2023-01-06,completed,cleaning,1409,176.0,138.0
10033,2023-01-06,cancelled,cleaning,,118.0,98.0
403,2023-01-06,cancelled,cleaning,,176.0,116.0
8790,2023-01-06,cancelled,cleaning,,99.0,84.0
3264,2023-01-06,completed,cleaning,1172,124.0,84.0
28700,2023-01-06,completed,cleaning,2000,122.0,115.0
23170,2023-01-06,cancelled,cleaning,,234.0,173.0
3243,2023-01-06,completed,cleaning,1365,133.0,87.0
8549,2023-01-06,cancelled,cleaning,,113.0,111.0
28630,2023-01-06,completed,cleaning,2526,195.0,157.0
27859,2023-01-06,completed,heavy_cleaning,767,196.0,169.0
938,2023-01-06,cancelled,cleaning,,103.0,77.0
2903,2023-01-06,completed,cleaning,1269,146.0,119.0
216,2023-01-06,cancelled,cleaning,,170.0,124.0
28521,2023-01-06,completed,cleaning,2239,192.0,162.0
6374,2023-01-06,completed,ironing,2542,137.0,110.0
12373,2023-01-06,completed,cleaning,2153,168.0,123.0
10981,2023-01-06,completed,cleaning,1931,164.0,113.0
1980,2023-01-06,completed,cleaning,1170,138.0,108.0
2661,2023-01-06,completed,cleaning,2433,137.0,105.0
9357,2023-01-06,cancelled,cleaning,,178.0,133.0
28612,2023-01-06,completed,cleaning,1670,131.0,110.0
12203,2023-01-06,cancelled,cleaning,407,114.0,87.0
27940,2023-01-06,completed,cleaning,1774,140.0,101.0
12338,2023-01-06,completed,heavy_cleaning,2329,176.0,144.0
20106,2023-01-06,cancelled,cleaning,,169.0,145.0
23781,2023-01-06,completed,cleaning,1823,170.0,114.0
27461,2023-01-06,completed,cleaning,548,170.0,135.0
1469,2023-01-06,cancelled,cleaning,2127,172.0,125.0
28522,2023-01-06,completed,cleaning,1616,156.0,124.0
28753,2023-01-06,completed,cleaning,2256,142.0,126.0
28539,2023-01-06,completed,cleaning,319,165.0,150.0
11455,2023-01-06,cancelled,cleaning,,108.0,80.0
28742,2023-01-06,cancelled,cleaning,,197.0,117.0
28743,2023-01-06,completed,cleaning,1910,164.0,134.0
27859,2023-01-06,completed,heavy_cleaning,2368,192.0,158.0
12427,2023-01-06,cancelled,cleaning,1590,125.0,91.0
28598,2023-01-06,completed,heavy_cleaning,1455,250.0,191.0
29184,2023-01-06,completed,cleaning,156,156.0,125.0
12294,2023-01-06,completed,cleaning,2224,164.0,128.0
28815,2023-01-06,completed,cleaning,1882,135.0,113.0
28616,2023-01-06,completed,business_cleaning,1254,147.0,108.0
19206,2023-01-06,cancelled,cleaning,,127.0,104.0
